district_name,district_code,tier,region,state,population_2025,literacy_rate_2025,urbanization_rate_2025,work_participation_rate_2025,data_quality,gdp_per_capita,industrial_establishments,service_sector_share,manufacturing_share,agriculture_share,bank_branches_per_100k,internet_penetration,road_density,power_availability,logistics_connectivity,total_gdp,economic_diversification_index,infrastructure_index,investment_readiness_score
Haveri,KA014,Tier-3,Northern,Karnataka,1577454,85.73,67.9999543568307,45.59993508527032,Estimated,119628,1848,35,30,35,11,60,97,88,63,1887076.67112,65,64.875,66.60849999999999
Dharwad,KA015,Tier-2,Northern,Karnataka,2437107,87.0,80.06538079780658,50.784434167231886,High,182070,8607,55,30,15,17,74,148,91,82,4437240.7149,85,80.25,81.67500000000001
Hubballi-Dharwad,KA016,Tier-2,Northern,Karnataka,2163810,90.92,95.00002310738928,50.600006470069005,Estimated,163890,8769,55,30,15,16,76,138,90,78,3546268.209,85,78.25,80.65899999999999
Shimoga,KA017,Tier-3,Central,Karnataka,1597833,84.82,67.99990987794094,45.59994692812077,Estimated,126577,1785,35,30,35,12,65,101,91,72,2022489.07641,65,69.625,70.0515
Chikkamagaluru,KA018,Tier-3,Central,Karnataka,1914483,87.27,67.99992478387115,45.59993481268834,Estimated,136719,2420,35,30,35,12,63,97,91,70,2617462.01277,65,68.125,69.6915
Chitradurga,KA019,Tier-3,Central,Karnataka,2079421,87.12,67.99998653471326,45.60000115416744,Estimated,142002,2509,35,30,35,12,64,98,92,72,2952819.40842,65,69.25,70.399
Davanagere,KA020,Tier-3,Central,Karnataka,1390974,86.0,67.99997699453763,45.59998964754194,Estimated,119952,1652,35,30,35,12,66,101,91,70,1668501.13248,65,69.375,69.8125
Ballari,KA021,Tier-3,Central,Karnataka,3062934,78.65,66.60391637560588,51.859850718298205,Medium,138771,2554,35,30,35,11,65,99,92,69,4250464.14114,65,68.875,67.5925
Koppal,KA022,Tier-3,Central,Karnataka,2096215,86.17,67.99999045899395,45.59999809179879,Estimated,142540,2396,35,30,35,12,64,104,92,72,2987944.861,65,70.0,70.43400000000001
Raichur,KA023,Tier-3,Central,Karnataka,1514085,85.31,67.9999471628079,45.5999498046675,Estimated,123895,1736,35,30,35,12,63,101,91,71,1875875.61075,65,68.875,69.7245
Kalaburagi,KA024,Tier-3,Northern,Karnataka,3204968,76.05,61.75930617715996,53.706402060800606,Medium,118673,2160,35,30,35,11,62,92,88,63,3803431.67464,65,64.75,64.635
Bidar,KA025,Tier-3,Northern,Karnataka,1946085,86.0,67.99995889182641,45.59996094723509,Estimated,130845,2311,35,30,35,11,62,95,86,68,2546354.91825,65,65.875,67.9625
Yadgir,KA026,Tier-3,Northern,Karnataka,1370086,87.85,67.9998919775839,45.599911246447306,Estimated,113318,1780,35,30,35,11,61,98,87,65,1552554.05348,65,65.5,67.62
Chamarajanagar,KA027,Tier-3,Southern,Karnataka,1972803,86.55,67.99999797242806,45.599991484197865,Estimated,173234,2408,35,30,35,14,81,129,99,88,3417565.54902,65,83.125,78.4475
Kodagu,KA028,Tier-3,Southern,Karnataka,1675183,86.81,67.99997373421292,45.59997325665315,Estimated,161318,2071,35,30,35,15,80,125,99,88,2702371.71194,65,82.375,78.6745
Chikkaballapur,KA029,Tier-3,Southern,Karnataka,1608463,86.91,67.9999477762311,45.59992987093891,Estimated,158647,1998,35,30,35,15,80,125,99,84,2551778.29561,65,81.375,77.5945
Kolar,KA030,Tier-3,Southern,Karnataka,1934194,84.96,68.00000413608977,45.599976010679384,Estimated,171688,2177,35,30,35,14,82,124,99,87,3320778.99472,65,82.5,77.742
Ramanagara,KA031,Tier-3,Southern,Karnataka,1714871,85.41,67.99998367224124,45.59998973683735,Estimated,162907,1976,35,30,35,15,81,125,99,86,2793644.89997,65,82.125,77.9195
