district_name,district_code,tier,region,state,population_2025,literacy_rate_2025,urbanization_rate_2025,work_participation_rate_2025,data_quality,gdp_per_capita,industrial_establishments,service_sector_share,manufacturing_share,agriculture_share,bank_branches_per_100k,internet_penetration,road_density,power_availability,logistics_connectivity,total_gdp,economic_diversification_index,infrastructure_index,investment_readiness_score
Tirupur,TN025,Tier-2,Western,Tamil Nadu,3182491,77.92,70.89028688533605,49.96482315268134,High,180706,5178,50,40,10,17,79,144,99,96,5750952.18646,90,88.5,86.134
Nilgiris,TN026,Tier-3,Western,Tamil Nadu,2306216,83.77,60.19995525137281,42.19995004804407,Estimated,128075,1511,30,35,35,10,62,97,97,60,2953686.142,65,68.22222222222223,66.22066666666667
Chengalpattu,TN027,Tier-3,Northern,Tamil Nadu,1518608,83.29,60.19993309662534,42.19989622074953,Estimated,116796,1108,30,35,35,12,62,99,99,72,1773673.39968,65,72.0,70.458
Tiruvallur,TN028,Tier-3,Northern,Tamil Nadu,1431818,82.56,60.19989970792378,42.19991646983066,Estimated,114270,989,30,35,35,10,63,114,99,77,1636138.4286,65,75.58333333333333,71.587
Ranipet,TN029,Tier-3,Northern,Tamil Nadu,2295891,86.52,60.19998336157945,42.199956356813104,Estimated,139418,1804,30,35,35,11,66,114,99,65,3200885.31438,65,73.33333333333333,69.704
Tirupathur,TN030,Tier-3,Northern,Tamil Nadu,2247041,84.48,60.19992514600312,42.19998656010282,Estimated,137996,1586,30,35,35,11,67,102,99,75,3100826.69836,65,74.41666666666666,71.621
Ariyalur,TN031,Tier-3,Central,Tamil Nadu,1564562,87.02,60.19991537567703,42.19992560218132,Estimated,98445,1453,30,35,35,9,55,94,88,63,1540233.0609,65,64.55555555555556,65.97066666666667
Perambalur,TN032,Tier-3,Central,Tamil Nadu,2719039,84.01,60.19998242025951,42.199983155813506,Estimated,126444,1537,30,35,35,9,54,94,90,64,3438061.67316,65,65.05555555555556,65.71866666666668
Nagapattinam,TN033,Tier-3,Central,Tamil Nadu,2022922,87.24,60.199997824928495,42.19999584759076,Estimated,109561,1881,30,35,35,10,53,85,88,59,2216333.57242,65,61.80555555555556,64.78966666666666
Tiruvarur,TN034,Tier-3,Central,Tamil Nadu,1674921,83.68,60.199973610695665,42.19996047574781,Estimated,101121,1258,30,35,35,9,54,93,89,56,1693696.86441,65,62.66666666666667,63.336000000000006
Mayiladuthurai,TN035,Tier-3,Central,Tamil Nadu,2630444,84.06,60.199951034882325,42.19994799357067,Estimated,124296,1542,30,35,35,9,56,85,88,58,3269536.67424,65,62.30555555555556,63.70366666666667
Tenkasi,TN036,Tier-3,Southern,Tamil Nadu,2359593,86.26,60.19995821313252,42.19998957447322,Estimated,111840,1777,30,35,35,10,53,79,86,55,2638968.8112,65,59.47222222222222,63.093666666666664
Kallakurichi,TN037,Tier-3,Northern,Tamil Nadu,1549151,82.39,60.19994177455909,42.19995339382668,Estimated,117685,1056,30,35,35,13,68,107,99,73,1823118.35435,65,74.86111111111111,71.73633333333333
Kallurichy,TN038,Tier-3,Northern,Tamil Nadu,1850912,82.8,60.19994467592193,42.19989929288913,Estimated,126468,1302,30,35,35,11,65,110,99,68,2340811.38816,65,73.27777777777777,69.54333333333332
