district_name,district_code,tier,region,state,population_2025,literacy_rate_2025,urbanization_rate_2025,work_participation_rate_2025,data_quality,gdp_per_capita,industrial_establishments,service_sector_share,manufacturing_share,agriculture_share,bank_branches_per_100k,internet_penetration,road_density,power_availability,logistics_connectivity,total_gdp,economic_diversification_index,infrastructure_index,investment_readiness_score
Kanpur Dehat,UP027,Tier-3,Central,Uttar Pradesh,2688136,81.78,45.99994196722189,32.79997738209674,Estimated,74935,701,15,15,70,6,35,70,77,44,2014354.7116,30,53.583333333333336,49.631
Rampur,UP028,Tier-3,Central,Uttar Pradesh,2360805,78.36,45.99994493403733,32.79995594722986,Estimated,68448,590,15,15,70,4,31,52,74,52,1615923.8064,30,50.083333333333336,48.697
Shahjahanpur,UP029,Tier-3,Central,Uttar Pradesh,1719365,72.7,45.9999476550936,32.79995812407488,Estimated,55737,388,15,15,70,5,31,71,77,42,958322.47005,30,52.291666666666664,46.6275
Pilibhit,UP030,Tier-3,Central,Uttar Pradesh,1960213,80.85,45.999950005433085,32.799955923157334,Estimated,60510,671,15,15,70,7,33,60,77,40,1186124.8863,30,50.0,47.97
Lakhimpur Kheri,UP031,Tier-3,Central,Uttar Pradesh,1562103,76.59,45.99991165755395,32.79994981124804,Estimated,52621,462,15,15,70,6,36,52,74,41,821994.21963,30,48.583333333333336,46.493
Sitapur,UP032,Tier-3,Central,Uttar Pradesh,2497671,78.05,45.999973575382825,32.79995643941896,Estimated,71160,580,15,15,70,5,32,58,73,45,1777342.6836,30,49.583333333333336,47.485
Hardoi,UP033,Tier-3,Central,Uttar Pradesh,1699245,71.83,45.99995880523409,32.79997881412039,Estimated,55339,357,15,15,70,6,37,57,76,42,940345.19055,30,50.625,46.3535
Unnao,UP034,Tier-3,Central,Uttar Pradesh,2173879,75.53,45.9999383590347,32.79993964705487,Estimated,64744,498,15,15,70,5,36,64,76,37,1407456.21976,30,50.583333333333336,45.681000000000004
Rae Bareli,UP035,Tier-3,Central,Uttar Pradesh,2541824,72.27,45.99995908449995,32.79994995719609,Estimated,72035,393,15,15,70,6,33,59,72,51,1831002.9184,30,51.291666666666664,48.4415
Fatehpur,UP036,Tier-3,Central,Uttar Pradesh,2570375,75.44,45.999980547585466,32.799961095170936,Estimated,72601,495,15,15,70,5,35,52,76,47,1866117.95375,30,50.333333333333336,47.588
Pratapgarh,UP037,Tier-3,Central,Uttar Pradesh,1610718,76.02,45.99992053233402,32.799968709606524,Estimated,53584,460,15,15,70,5,36,67,72,46,863087.13312,30,52.458333333333336,48.14150000000001
Kaushambi,UP038,Tier-3,Central,Uttar Pradesh,1763843,78.5,45.9999557783771,32.799914731639944,Estimated,56619,583,15,15,70,5,34,56,74,50,998670.26817,30,51.166666666666664,49.05
Chitrakoot,UP039,Tier-3,Bundelkhand,Uttar Pradesh,1592863,81.2,45.99993847556256,32.79993320203934,Estimated,39923,603,15,15,70,5,25,43,58,30,635918.69549,30,37.208333333333336,41.4025
Banda,UP040,Tier-3,Bundelkhand,Uttar Pradesh,2091041,81.34,46.00000669522979,32.79997857526467,Estimated,47327,687,15,15,70,4,27,52,55,34,989626.97407,30,39.833333333333336,42.61800000000001
Hamirpur,UP041,Tier-3,Bundelkhand,Uttar Pradesh,1730966,73.9,45.999921431154625,32.79995101001406,Estimated,41975,428,15,15,70,3,28,38,57,31,726572.9785,30,36.916666666666664,39.255
Mahoba,UP042,Tier-3,Bundelkhand,Uttar Pradesh,2292761,73.72,45.99995376753181,32.799973481754094,Estimated,50325,440,15,15,70,3,27,40,55,34,1153831.97325,30,37.33333333333333,39.944
Lalitpur,UP043,Tier-3,Bundelkhand,Uttar Pradesh,2571615,76.43,45.999965002537316,32.799972002029854,Estimated,54469,527,15,15,70,4,26,43,58,32,1400732.97435,30,37.958333333333336,40.673500000000004
Jalaun,UP044,Tier-3,Bundelkhand,Uttar Pradesh,2360904,78.73,45.99996442040845,32.79993595673522,Estimated,51337,602,15,15,70,4,27,37,55,34,1212017.28648,30,36.708333333333336,41.158500000000004
Jaunpur,UP045,Tier-3,Eastern,Uttar Pradesh,2676150,80.52,46.0,32.79999252657736,Estimated,63492,660,15,15,70,5,29,41,62,40,1699141.158,30,41.291666666666664,44.4915
Ghazipur,UP046,Tier-3,Eastern,Uttar Pradesh,2422601,77.98,45.99998101214356,32.79999471642255,Estimated,59222,578,15,15,70,5,28,41,66,34,1434712.76422,30,40.541666666666664,42.558499999999995
Chandauli,UP047,Tier-3,Eastern,Uttar Pradesh,2327065,74.32,45.999961324672924,32.79994327618695,Estimated,57613,459,15,15,70,4,30,41,61,36,1340691.95845,30,40.291666666666664,41.7515
Bhadohi,UP048,Tier-3,Eastern,Uttar Pradesh,2439261,75.13,45.99995654421565,32.79997507441803,Estimated,59502,485,15,15,70,4,29,60,66,32,1451409.08022,30,44.25,42.301
Mirzapur,UP049,Tier-3,Eastern,Uttar Pradesh,1540037,75.27,45.9999987013299,32.79992623553849,Estimated,44356,419,15,15,70,6,29,53,65,33,683098.81172,30,42.791666666666664,42.8915
Sonbhadra,UP050,Tier-3,Eastern,Uttar Pradesh,1682845,72.45,45.99995840377456,32.79993106911213,Estimated,46761,373,15,15,70,4,31,55,62,33,786915.15045,30,42.95833333333333,41.5775
Azamgarh,UP051,Tier-3,Eastern,Uttar Pradesh,1803694,74.38,45.99998669397359,32.79990951902041,Estimated,48797,461,15,15,70,4,29,60,62,35,880148.56118,30,44.0,42.676
Mau,UP052,Tier-3,Eastern,Uttar Pradesh,2545455,76.53,45.99998821428782,32.79995128572298,Estimated,61291,531,15,15,70,6,32,48,63,35,1560134.82405,30,42.5,43.455999999999996
Ballia,UP053,Tier-3,Eastern,Uttar Pradesh,2386821,73.8,45.99997234815682,32.79994603700906,Estimated,58619,442,15,15,70,5,31,41,60,41,1399130.60199,30,41.541666666666664,43.4225
Deoria,UP054,Tier-3,Eastern,Uttar Pradesh,2455357,72.02,45.99995031272438,32.799955362906495,Estimated,59773,385,15,15,70,6,31,47,66,35,1467640.53961,30,42.791666666666664,42.6415
Kushinagar,UP055,Tier-3,Eastern,Uttar Pradesh,1556031,74.35,45.999983290821326,32.79998920329994,Estimated,44625,398,15,15,70,6,29,47,65,40,694378.83375,30,43.291666666666664,44.2575
Maharajganj,UP056,Tier-3,Eastern,Uttar Pradesh,2744019,75.28,45.999973032256705,32.799955102351696,Estimated,64636,490,15,15,70,4,28,51,66,41,1773624.12084,30,44.375,44.1685
Sant Kabir Nagar,UP057,Tier-3,Eastern,Uttar Pradesh,2237740,78.67,45.99998212482237,32.79996782468026,Estimated,56108,600,15,15,70,5,30,44,65,33,1255551.1592,30,41.166666666666664,42.684000000000005
Basti,UP058,Tier-3,Eastern,Uttar Pradesh,2833687,77.43,45.99996400449309,32.799988142656545,Estimated,66146,560,15,15,70,4,28,47,62,33,1874370.60302,30,40.541666666666664,41.8485
Siddharthnagar,UP059,Tier-3,Eastern,Uttar Pradesh,2229276,75.82,45.999956936691554,32.79997631518036,Estimated,55965,508,15,15,70,6,30,47,65,35,1247614.3134,30,42.291666666666664,43.2515
Faizabad,UP060,Tier-3,Eastern,Uttar Pradesh,2801825,79.98,45.99998215448859,32.799978585386306,Estimated,65609,643,15,15,70,5,27,60,64,31,1838249.36425,30,43.0,43.096000000000004
Ambedkar Nagar,UP061,Tier-3,Eastern,Uttar Pradesh,2462012,78.46,45.99997887906314,32.799961982313654,Estimated,59886,593,15,15,70,5,29,40,61,35,1474400.50632,30,39.58333333333333,42.567
Sultanpur,UP062,Tier-3,Eastern,Uttar Pradesh,2040451,73.86,45.99997745596439,32.7999545198586,Estimated,52785,444,15,15,70,4,28,53,63,31,1077052.06035,30,41.541666666666664,41.0345
Bahraich,UP063,Tier-3,Eastern,Uttar Pradesh,2096686,72.23,45.99992559687049,32.799951924131705,Estimated,53732,391,15,15,70,5,31,56,65,30,1126591.32152,30,43.166666666666664,41.396
Shrawasti,UP064,Tier-3,Eastern,Uttar Pradesh,2286234,76.47,45.999972006365056,32.79996710747894,Estimated,56925,529,15,15,70,5,32,52,65,37,1301438.7045,30,44.333333333333336,43.994
Balrampur,UP065,Tier-3,Eastern,Uttar Pradesh,1934794,77.78,45.99998759557865,32.79997767204157,Estimated,51005,571,15,15,70,4,28,49,65,45,986841.6797,30,44.708333333333336,45.5685
Gonda,UP066,Tier-3,Eastern,Uttar Pradesh,2612000,74.75,45.9999617151608,32.800000000000004,Estimated,62412,473,15,15,70,5,29,50,65,45,1630201.44,30,45.16666666666667,45.5
Bijnor,UP067,Tier-3,Western,Uttar Pradesh,2781284,75.47,46.00001294366199,32.79999453489827,Estimated,88298,496,15,15,70,5,38,72,85,44,2455818.14632,30,56.75,48.919
Amroha,UP068,Tier-3,Western,Uttar Pradesh,1943841,76.09,45.99995575769829,32.79995637503273,Estimated,69213,517,15,15,70,5,37,65,87,44,1345390.67133,30,55.541666666666664,48.680499999999995
Sambhal,UP069,Tier-3,Western,Uttar Pradesh,1761508,78.63,45.999904627171716,32.79996457580664,Estimated,65058,586,15,15,70,7,38,74,82,41,1146001.87464,30,55.66666666666667,49.426
Badaun,UP070,Tier-3,Central,Uttar Pradesh,1532167,81.13,45.99994648102981,32.79994935277943,Estimated,52028,579,15,15,70,7,35,66,78,39,797155.84676,30,51.75,48.351
Aliganj,UP071,Tier-3,Central,Uttar Pradesh,1736277,78.16,45.999918215814645,32.799950699110795,Estimated,56072,563,15,15,70,6,33,62,71,46,973565.23944,30,50.41666666666667,48.357
Kheri,UP072,Tier-3,Central,Uttar Pradesh,2206193,81.04,45.99996464497893,32.79994089365708,Estimated,65384,677,15,15,70,7,36,63,78,46,1442497.23112,30,53.125,50.1455
Barabanki,UP073,Tier-3,Central,Uttar Pradesh,2624393,74.36,45.99997027884162,32.79996555393952,Estimated,73671,460,15,15,70,5,36,67,75,36,1933416.56703,30,50.708333333333336,45.2845
Ayodhya,UP074,Tier-3,Eastern,Uttar Pradesh,2501813,75.3,45.99996082840724,32.799973459247354,Estimated,60556,491,15,15,70,5,31,61,66,32,1514997.88028,30,44.95833333333333,42.9475
Amethi,UP075,Tier-3,Central,Uttar Pradesh,2830811,75.65,45.99996255490034,32.79999971739547,Estimated,77762,502,15,15,70,6,35,59,73,42,2201295.24982,30,49.791666666666664,46.8675
